Player,Season,Team,Lg,G,AS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
Nick Castellanos,2021,CIN,NL,138,1,585,531,95,164,91,38,1,34,100,3,1,41,121,0.309,0.362,0.576,0.939,138,306
Carlos Correa,2021,HOU,AL,148,1,640,555,104,155,94,34,1,26,92,0,0,75,116,0.279,0.366,0.485,0.85,131,269
Brandon Crawford,2021,SFG,NL,138,1,549,483,79,144,87,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141,252
Jake Cronenworth,2021,SDP,NL,152,1,643,567,94,151,90,33,7,21,71,4,3,55,90,0.266,0.34,0.46,0.8,122,261
Rafael Devers,2021,BOS,AL,156,1,664,591,101,165,89,37,1,38,113,5,5,62,143,0.279,0.352,0.538,0.89,134,318
Freddie Freeman,2021,ATL,NL,159,1,695,600,120,180,122,25,2,31,83,8,3,85,107,0.3,0.393,0.503,0.896,136,302
Adolis García,2021,TEX,AL,149,1,622,581,77,141,82,26,2,31,90,16,5,32,194,0.243,0.286,0.454,0.741,100,264
Vladimir Guerrero Jr.,2021,TOR,AL,161,1,698,604,123,188,110,29,1,48,111,4,1,86,110,0.311,0.401,0.601,1.002,167,363
Teoscar Hernández,2021,TOR,AL,143,1,595,550,92,163,102,29,0,32,116,12,4,36,148,0.296,0.346,0.524,0.87,131,288
Aaron Judge,2021,NYY,AL,148,1,633,550,89,158,95,24,0,39,98,6,1,75,158,0.287,0.373,0.544,0.916,149,299
Manny Machado,2021,SDP,NL,153,1,640,564,92,157,96,31,2,28,106,12,3,63,102,0.278,0.347,0.489,0.836,131,276
J.D. Martinez,2021,BOS,AL,148,1,634,570,92,163,90,42,3,28,99,0,0,55,150,0.286,0.349,0.518,0.867,128,295
Whit Merrifield,2021,KCR,AL,162,1,720,664,97,184,129,42,3,10,74,40,4,40,103,0.277,0.317,0.395,0.711,93,262
Yadier Molina,2021,STL,NL,121,1,473,440,45,111,81,19,0,11,66,3,0,24,79,0.252,0.297,0.37,0.667,84,163
Cedric Mullins,2021,BAL,AL,159,1,675,602,91,175,103,37,5,30,59,30,8,59,125,0.291,0.36,0.518,0.878,137,312
